#{"t_start": 1735310207.876689, "env_id": "BriscolaEpsGreedy-v0"}
r,l,t
-50.198333,18,15.148865
15.418611,20,15.169865
-55.043611,16,15.184867
-50.62,17,15.199866
-70.250278,17,15.216866
-80.437222,14,15.227869
-66.152222,14,15.242866
-73.516111,16,15.256867
-77.517222,14,15.267866
-70.947222,15,15.281865
-33.185278,16,15.300885
-23.25,19,15.322875
-39.215,16,15.342887
-50.864722,17,15.363866
-50.816389,17,15.386873
-72.2525,15,15.405872
-77.5125,16,15.423867
34.827778,20,15.443869
-59.954722,18,15.460866
-48.437778,18,15.478865
-78.448889,11,15.489865
80.676667,16,15.505866
-57.505833,14,15.517865
-40.524167,18,15.537865
-65.348333,13,15.548865
-63.4725,15,15.568873
-73.362222,15,15.584867
59.831389,13,15.602868
21.959722,20,15.625866
-38.844444,15,15.641874
-49.303889,15,15.659866
-57.658889,15,15.677866
6.251111,20,15.695867
-42.303611,14,15.707866
-84.666667,10,15.717865
-54.508611,18,15.732865
-54.473889,18,15.749865
7.088333,20,15.767865
-61.633611,17,15.787865
-48.288056,17,15.806881
-55.235833,18,15.834875
-105.8175,15,15.853866
-30.106111,20,15.88087
-38.101111,15,15.894865
45.102778,15,15.910867
-25.245278,18,15.927866
-60.505278,13,15.939866
1.456111,20,15.956868
-28.918611,17,15.970865
26.274444,19,15.987865
-20.620556,19,16.00487
-50.3325,16,16.018865
-52.489722,15,16.029865
-91.307778,14,16.042865
-70.374167,15,16.056865
-60.012222,14,16.069866
-31.518056,20,16.09187
-77.399722,18,16.113876
14.141667,20,16.137866
-37.078333,18,16.155869
38.790833,17,16.173866
-49.107778,16,16.189866
-36.536944,18,16.207874
-85.638056,12,16.217872
-73.829167,17,16.233873
-64.953056,17,16.247871
-0.63,20,16.264872
-48.848333,17,16.282873
-81.175833,11,16.290871
-56.753333,16,16.303872
-50.888333,17,16.321874
-67.1925,16,16.341865
-69.701389,15,16.359869
46.950278,17,16.385873
-33.184444,18,16.407874
-77.641111,13,16.423882
4.266111,20,16.445873
44.431389,20,16.465866
-27.496389,19,16.486865
58.978889,15,16.501869
6.209722,20,16.520868
-44.38,19,16.540866
-28.315833,16,16.558868
30.659722,18,16.577877
-54.283611,15,16.595871
10.47,20,16.618878
-77.844722,12,16.635873
-20.784444,20,16.660873
-62.045556,17,16.675871
6.725,19,16.697865
35.536944,17,16.711866
-0.266389,20,16.728865
-47.146111,19,16.746865
-70.436389,12,16.756866
-62.348333,14,16.768865
-75.942778,17,16.785865
-81.6075,12,16.796865
-45.540833,18,16.810866
-72.079722,11,16.820866
29.8125,20,16.840876
-57.643611,13,16.855872
-71.667778,14,16.871872
-56.879444,17,16.891868
-29.8025,20,16.913871
-34.600278,15,16.93387
40.813333,14,16.947866
42.024722,18,16.96587
-72.235,10,16.973872
-60.910833,11,16.984871
50.838056,17,16.999871
-14.669444,20,17.018871
-52.964167,13,17.029876
-74.85,15,17.043865
-45.324167,15,17.058865
-88.692778,16,17.073865
-56.003611,20,17.097876
-28.395556,20,17.122869
8.919444,20,17.143867
-84.468333,13,17.158866
48.221111,14,17.176866
-86.102778,15,17.18987
-60.428889,16,17.202866
33.981111,18,17.22087
-82.283056,11,17.232875
-58.418056,12,17.242876
-85.493333,14,17.253874
-86.406944,12,17.263876
-73.612778,13,17.275872
-66.659167,15,17.289875
47.287778,18,17.306875
-65.284722,15,17.318866
39.164444,16,17.333866
-93.208889,15,17.348866
-53.415278,16,17.366866
-60.540833,18,17.388876
-82.721667,12,17.402876
-71.384167,12,17.417871
57.291389,18,17.43887
-85.695,16,17.458871
-1.721111,20,17.477866
-39.306389,19,17.496866
14.053333,20,17.514866
-76.921111,15,17.529866
60.945556,19,17.544866
-61.723056,15,17.558866
-50.286389,19,17.577874
-74.835556,13,17.593865
-66.914444,14,17.611865
-56.644444,16,17.629866
-35.778611,18,17.650872
-57.261944,17,17.670867
-14.493889,19,17.690866
3.024444,20,17.708866
-68.5725,11,17.718866
-75.544167,11,17.729865
-21.892222,20,17.746866
61.313056,17,17.760866
57.296389,14,17.771868
-71.769722,12,17.782868
59.145278,17,17.80187
-51.885833,17,17.82187
34.133056,20,17.845866
9.746667,20,17.870866
-47.586944,14,17.885879
-63.724167,16,17.90187
-89.537222,16,17.915871
-71.316111,13,17.928872
-44.296389,16,17.944865
-68.347778,13,17.956865
28.143889,19,17.974866
-77.504444,13,17.986866
2.312778,20,18.005865
-53.856944,15,18.019865
-58.775833,19,18.035865
-65.569167,16,18.050865
-18.165278,20,18.072872
55.353611,20,18.096869
-53.474444,13,18.113869
0.493889,20,18.136883
-55.293333,15,18.15288
-58.679722,12,18.164868
-26.884444,18,18.182865
-59.7425,14,18.194865
46.1625,20,18.211865
58.299444,17,18.228865
33.762778,20,18.245865
-106.084167,15,18.256865
-21.1925,18,18.272868
-25.063611,19,18.291867
-72.562222,13,18.303868
-38.982778,20,18.32688
-64.253056,13,18.340866
-76.163333,19,18.364875
-77.078056,19,18.386876
-43.719167,18,18.406871
-61.376944,17,18.426865
35.259167,19,18.446871
-59.121111,14,18.461868
-61.5325,14,18.474866
-13.516389,20,18.492867
-31.789722,17,18.508865
-61.608333,19,18.527866
-24.725,19,18.547867
